Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10803575,2020-01-01 12:36:10,2019-12-30 10:15:04,14992965,749648250,0,50,342,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803575.sralite.1,SRX7477456,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP239059,PRJNA598120,3,598120,SRS5921069,SAMN13698754,simple,7227,Drosophila melanogaster,GSM4238186,,,,,,,no,,,,,GEO,SRA1017694,,public,E5AF616E0E34C9D03EB3143273346A56,C0FB6BC343B9AE366167F9A1931537DB
SRR10803576,2020-01-01 12:36:10,2019-12-30 10:15:34,18242138,912106900,0,50,417,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803576.sralite.1,SRX7477457,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP239059,PRJNA598120,3,598120,SRS5921070,SAMN13698753,simple,7227,Drosophila melanogaster,GSM4238187,,,,,,,no,,,,,GEO,SRA1017694,,public,ACEC2583D5E9478730E3DB621636D4E0,A0BDAFF7C19C36F15F6A594824E7106E
SRR10803577,2020-01-01 12:36:10,2019-12-30 10:13:14,3887773,194388650,0,50,117,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803577.sralite.1,SRX7477458,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921071,SAMN13698752,simple,7227,Drosophila melanogaster,GSM4238188,,,,,,,no,,,,,GEO,SRA1017694,,public,A62D75756271E6301A4F762803C9A046,DFB46167D151D5D1B759254715E6CE00
SRR10803578,2020-01-01 12:36:10,2019-12-30 10:14:10,11709513,585475650,0,50,353,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803578.sralite.1,SRX7477459,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921072,SAMN13698751,simple,7227,Drosophila melanogaster,GSM4238189,,,,,,,no,,,,,GEO,SRA1017694,,public,FED2C91A182CC8549B782BE755E7B87F,27899C13EDEA61B29F506647600F9C43
SRR10803579,2020-01-01 12:36:10,2019-12-30 10:13:41,3821308,191065400,0,50,116,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803579.sralite.1,SRX7477460,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921073,SAMN13698750,simple,7227,Drosophila melanogaster,GSM4238190,,,,,,,no,,,,,GEO,SRA1017694,,public,733AF6224CC5AC7D7114A8F5CE5C8FE2,D29107D30D2A0FE3FDC2D0572E8133FA
SRR10803580,2020-01-01 12:36:10,2019-12-30 10:14:50,8727415,314186940,0,36,210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803580.sralite.1,SRX7477461,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP239059,PRJNA598120,3,598120,SRS5921074,SAMN13698749,simple,7227,Drosophila melanogaster,GSM4238191,,,,,,,no,,,,,GEO,SRA1017694,,public,69539D181E5BBE0D84166AB242E8707D,504182135CCA4CA02CC2984183459A89
SRR10803581,2020-01-01 12:36:10,2019-12-30 10:15:06,7561213,272203668,0,36,185,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803581.sralite.1,SRX7477462,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP239059,PRJNA598120,3,598120,SRS5921075,SAMN13698748,simple,7227,Drosophila melanogaster,GSM4238192,,,,,,,no,,,,,GEO,SRA1017694,,public,DC9AEF33E015FD172E260BF05469823F,D8A85071F5BD60FA76E9C15B898B63E5
SRR10803582,2020-01-01 12:36:10,2019-12-30 10:16:22,17639912,881995600,0,50,532,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/803/SRR10803582.sralite.1,SRX7477463,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921076,SAMN13698747,simple,7227,Drosophila melanogaster,GSM4238193,,,,,,,no,,,,,GEO,SRA1017694,,public,FAD50743C44413EB209CF47CB0CA6BD0,4B7B83E89B77646AE101D215D5D5D709
SRR10803583,2020-01-01 12:36:10,2019-12-30 10:16:47,10462563,523128150,0,50,314,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/803/SRR10803583.sralite.1,SRX7477464,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921077,SAMN13698746,simple,7227,Drosophila melanogaster,GSM4238194,,,,,,,no,,,,,GEO,SRA1017694,,public,602634685F20766687248533B7D6DB9E,58B5C741EA9A81B790FC8C87C613B464
SRR10803584,2020-01-01 12:36:11,2019-12-30 10:15:51,5902085,295104250,0,50,179,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/803/SRR10803584.sralite.1,SRX7477465,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP239059,PRJNA598120,3,598120,SRS5921078,SAMN13698745,simple,7227,Drosophila melanogaster,GSM4238195,,,,,,,no,,,,,GEO,SRA1017694,,public,28BB85973F41D3B2D8D0C4B5DF42C1FC,FE88380248969DCF8E9B14DD44AA5021
